,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
bAccGen1,0.232114260008997,0.0637498875393612,0.0512991452991453,0.0147237966711651,0.0420485829959514,0.0172154745838956,0.370463787674314,0.00493567251461988,0.00832118758434548,0.00450022492127755,0.132452541610436,0.00862528115159694,0.0147179487179487,0.00116914080071975,0.00632118758434548,0.0023540260908682,0.000343679712100765,0.00178497525865947,0.000854700854700855,0.000711201079622132,0.000862798020692758,0.000406657669815565,0.00294017094017094,0.00298020692757535,0.000289248762932973,0.0020076473234368,0.000256860098965362,6.79262258209627e-05,0.000158344579397211,0.00106207827260459,0.000382816014394962,0.000650922177237967,0.00102878992352677,0.000199730094466937,0.000143949617633828,3.32883490778228e-05,0.000340080971659919,0.000130004498425551,0.000221772379667117,7.19748088169141e-05,0.000233018443544759,0.000103013945119208,0.0001102114260009,0.000620782726045884,5.89293747188484e-05,0.000459289248762933,4.49842555105713e-06,0.000277103013945119,0.000280701754385965,2.56410256410256e-05,0.000506972559604139,0.000109761583445794,0.000311291048133153,7.51237067026541e-05,6.74763832658569e-05,0.000168241115609537,4.40845704003599e-05,1.03463787674314e-05,0.000128205128205128,8.23211875843455e-05,8.32208726945569e-05,1.84435447593342e-05,0.000130004498425551,1.88933873144399e-05,4.40845704003599e-05,5.03823661718399e-05,0.000267656320287899,0.000106162843004948,7.87224471434998e-05,0.000104363472784525,0.000114709851551957,0.000254161043634728,9.22177237966712e-05,3.68870895186685e-05,0.000135852451641925,3.41880341880342e-05,4.09356725146199e-05,0.000127755285650023,0.000182636077372919,6.20782726045884e-05,6.74763832658569e-05,1.57444894287e-05,0.000105713000449843,2.38416554206028e-05,0.000147548358074674,0.000118308591992803,0.000168241115609537,0.000140800719748088,1.97930724246514e-05,3.5987404408457e-06,1.79937022042285e-05,1.70940170940171e-05,8.63697705802969e-05,4.72334682860999e-05,0.000233018443544759,0.000157444894287,1.70940170940171e-05,5.39811066126856e-06,4.94826810616284e-06
bAnaAcu1,0.248141441441441,0.103984684684685,0.0704896396396396,0.0246806306306306,0.0336481981981982,0.100920720720721,0.32292027027027,0.00196576576576577,0.0208666666666667,0.0121333333333333,0.000695045045045045,0.00207207207207207,0.0111572072072072,0.00386711711711712,0.00131441441441441,0.00244009009009009,0.000720720720720721,0.0158563063063063,0.000262162162162162,0.00231711711711712,0.000236936936936937,0.000802252252252252,0.000767117117117117,0.000911711711711712,0.000514414414414414,0.000290540540540541,0.000368018018018018,0.000276126126126126,0.000374324324324324,0.000431981981981982,6.3963963963964e-05,0.000429279279279279,0.000191441441441441,0.000600900900900901,0.000528378378378378,2.25225225225225e-05,0.000383783783783784,0.000118018018018018,0.00027027027027027,0.00141126126126126,0.00014009009009009,0.000315765765765766,0.000183783783783784,0.000234234234234234,7.92792792792793e-05,0.000341441441441441,0.000122972972972973,0.000112612612612613,0.000458108108108108,0.000199099099099099,0.000230630630630631,0.000100900900900901,0.000156306306306306,0.000305405405405405,0.000545945945945946,0.000123873873873874,1.26126126126126e-05,5.13513513513514e-05,5.58558558558559e-05,2.02702702702703e-05,0.000821621621621622,0.000112162162162162,7.74774774774775e-05,0.000451801801801802,5.9009009009009e-05,0.000104504504504505,8.28828828828829e-05,7.47747747747748e-05,0.000247747747747748,0.00011036036036036,9.77477477477478e-05,0.000222972972972973,9.41441441441441e-05,6.98198198198198e-05,5.58558558558559e-05,3.64864864864865e-05,3.55855855855856e-05,7.74774774774775e-05,3.82882882882883e-05,0.000100900900900901,7.65765765765766e-06,2.02702702702703e-05,2e-04,1.44144144144144e-05,0.00170540540540541,0.000183333333333333,0.000826576576576577,0.000271171171171171,6.30630630630631e-05,6.21621621621622e-05,2.79279279279279e-05,5e-05,1.98198198198198e-05,1.35135135135135e-06,0.000122522522522523,7.56756756756757e-05,0.000134234234234234,5.40540540540541e-06,0
bAnsBra1,0.351503606853021,0.0220369702434626,0.159905320108206,0.0138963029756537,0.07290261496844,0.0289039675383228,0.2439869251578,0.00284310189359784,0.00318394950405771,0.00462128043282236,0.00230658250676285,0.00192696122633003,0.00538412984670875,0.000889990982867448,0.0318331830477908,0.00150811541929666,0.000275473399458972,0.00075473399458972,0.000894499549143372,0.0014522091974752,0.000596934174932371,0.000298917944093778,0.00051668169522092,0.000550495942290352,0.000123083859332732,0.0350063119927863,0.000302073940486925,0.00018394950405771,0.000602344454463481,0.000260595130748422,5.00450856627592e-05,0.00027502254283138,0.000251577998196573,0.000123083859332732,0.000146528403967538,2.16411181244364e-05,0.000337691614066727,0.000146979260595131,0.00390036068530207,0.000682596934174932,8.38593327321912e-05,0.000108656447249775,8.92696122633003e-05,0.000165013525698828,2.70513976555455e-05,2.25428313796213e-05,0.000132100991884581,7.57439134355275e-05,0.000786744815148783,6.0414788097385e-05,0.00016726780883679,3.02073940486925e-05,0.000550045085662759,0.000209648331830478,0.000292155094679892,8.11541929666366e-05,5.54553651938684e-05,1.71325518485122e-05,6.71776375112714e-05,4.41839495040577e-05,1.75834084761046e-05,3.11091073038774e-05,3.51668169522092e-05,2.47971145175834e-05,2.25428313796213e-05,2.25428313796213e-05,8.83678990081154e-05,8.34084761045987e-05,2.97565374211001e-05,1.12714156898106e-05,3.83228133453562e-05,2.20919747520289e-05,0.000103246167718665,2.56988277727683e-05,2.88548241659152e-05,3.20108205590622e-05,6.6726780883679e-05,4.95942290351668e-05,1.89359783588819e-05,6.13165013525699e-05,3.15599639314698e-06,4.8692515779982e-05,6.0414788097385e-05,1.39765554553652e-05,0.00010414788097385,4.82416591523895e-05,1.75834084761046e-05,1.44274120829576e-05,3.42651036970243e-05,5.95130748422002e-05,3.78719567177638e-05,8.97204688908927e-05,5.59062218214608e-05,4.95942290351668e-06,2.61496844003607e-05,1.44274120829576e-05,1.8034265103697e-05,6.6726780883679e-05,1.57799819657349e-05
bCinCin1,0.327343357271095,0.0298056552962298,0.177789497307002,0.0118819569120287,0.116299371633752,0.00788195691202873,0.267256732495512,0.00775987432675045,0.00246633752244165,0.0115771992818671,0.000801615798922801,0.00123473967684022,0.010237881508079,0.0016149012567325,0.000663824057450628,0.00760951526032316,0.0010754039497307,0.000998653500897666,0.000232495511669659,0.000356822262118492,0.000398563734290844,0.00342773788150808,0.00028096947935368,0.000320915619389587,4.93716337522442e-05,0.000601436265709156,0.000299820466786355,9.245960502693e-05,0.000483393177737882,0.00034245960502693,0.000174147217235189,0.000105026929982047,0.00240843806104129,0.00045556552962298,0.000157091561938959,0.000165619389587074,0.000107271095152603,0.000112208258527828,0.000106822262118492,8.57271095152603e-05,0.000166517055655296,9.51526032315978e-05,0.00041786355475763,6.14901256732496e-05,8.97666068222621e-05,0.000276481149012567,5.70017953321364e-05,0.000139587073608618,8.16876122082585e-05,0.000251346499102334,0.000193447037701975,0.000350987432675045,0.000193895870736086,5.16157989228007e-05,7.27109515260323e-05,5.78994614003591e-05,1.34649910233393e-05,5.25134649910233e-05,0.000305206463195691,5.47576301615799e-05,1.34649910233393e-06,0.000124775583482944,7.2262118491921e-05,5.38599640933573e-06,6.19389587073609e-05,1.79533213644524e-05,0.000129263913824057,2.91741472172352e-05,5.83482944344704e-06,3.45601436265709e-05,6.28366247755835e-06,3.77019748653501e-05,3.63554757630162e-05,2.87253141831239e-05,7.9443447037702e-05,3.18671454219031e-05,8.97666068222621e-05,3.27648114901257e-05,0.000145870736086176,1.52603231597846e-05,9.87432675044883e-06,3.14183123877917e-06,2.24416517055655e-05,1.03231597845601e-05,2.24416517055655e-05,3.99461400359066e-05,9.42549371633752e-05,4.48833034111311e-07,0.00023967684021544,9.64991023339318e-05,7.18132854578097e-06,7.67504488330341e-05,0.000163824057450628,2.82764811490126e-05,3.3213644524237e-05,0.00010278276481149,1.34649910233393e-05,1.34649910233393e-06,1.34649910233393e-06
bClaHye2,0.264218370103557,0.0348730301665916,0.180248986942819,0.010997748761819,0.0326154885186853,0.0359027465105808,0.270465556055831,0.0176321476812247,0.0263430886987843,0.00660108059432688,0.00318910400720396,0.00640522287257992,0.00570193606483566,0.00694867176947321,0.0354488968932913,0.002979738856371,0.000331832507879334,0.00209320126069338,0.000565060783430887,0.00272850067537145,0.000434038721296713,0.000404322377307519,0.00155155335434489,0.0218054930211616,0.000473210265646105,0.000460603331832508,0.000488068437640702,0.000868077442593426,0.0004993246285457,0.00585682125168843,0.000937415578568212,0.00653084196307969,0.000413777577667717,0.000536244934714093,0.000812696983340837,0.000116163890139577,0.000235029266096353,4.09725348941918e-05,0.000266546600630347,0.000211166141377758,0.000220171094101756,0.000239081494822152,0.000688428635749662,6.66366501575867e-05,5.71814497973886e-05,0.000196758217019361,0.000520936515083296,5.26789734353895e-05,0.000167041873030167,0.000107609185051778,5.71814497973886e-05,0.000411076091850518,0.000244034218820351,0.00030031517334534,0.00103016659162539,0.000128320576316974,6.9788383610986e-05,6.93381359747861e-05,0.000382710490769923,0.00106843764070239,1.62089149031968e-05,9.95047276001801e-05,0.000354795137325529,0.000156686177397569,0.000117064385411977,9.77037370553805e-05,5.71814497973886e-05,6.66366501575867e-05,4.45745159837911e-05,0.000393516434038721,9.5002251238181e-05,0.000235929761368753,1.03556956325979e-05,2.56641152633949e-05,0.000437640702386312,6.30346690679874e-06,0.00010085547050878,1.84601530841963e-05,3.64700585321927e-05,0.000306618640252139,0.000960828455650608,0.000157586672669968,7.20396217919856e-05,0.000194506978838361,7.60918505177848e-05,4.5024763619991e-06,0.000190454750112562,7.65420981539847e-06,3.19675821701936e-05,1.26069338135975e-05,5.26789734353895e-05,1.12561909049977e-05,1.71094101755966e-05,2.5213867627195e-05,9.41017559657812e-05,3.15173345339937e-05,6.70868977937866e-05,3.15173345339937e-06,1.80099054479964e-06
bFriCoe1,0.31378167115903,0.0119712488769093,0.117263701707098,0.0208256963162624,0.0194995507637017,0.0970947888589398,0.134216981132075,0.00142857142857143,0.0163827493261456,0.0884546271338724,0.00222057502246181,0.000612758310871518,0.0277654986522911,0.00103638814016173,0.000666666666666667,0.00199775381850854,0.0019115004492363,0.000492812219227314,0.00010377358490566,0.000513027852650494,0.000217430368373765,0.000358041329739443,0.00127583108715184,0.000424528301886792,0.000166666666666667,0.124410152740341,0.000147349505840072,0.000121293800539084,0.00362264150943396,0.000288858939802336,0.000158131176999102,7.23270440251572e-05,0.00346990116801438,0.000254716981132075,0.000102425876010782,6.82839173405211e-05,0.000252920035938904,0.000103324348607367,0.00132075471698113,0.000126684636118598,0.000132973944294699,1.34770889487871e-05,0.000176100628930818,0.00013162623539982,0.00055570530098832,0.000141060197663971,1.16801437556155e-05,9.6136567834681e-05,6.46900269541779e-05,4.85175202156334e-05,0.000442048517520216,0.000160826594788859,3.23450134770889e-05,5.88499550763702e-05,0.000307277628032345,2.2911051212938e-05,0.000143306379155436,3.77358490566038e-05,0.000407008086253369,1.8418688230009e-05,1.61725067385445e-05,5.70530098831986e-05,2.87511230907457e-05,2.20125786163522e-05,0.000143755615453729,6.73854447439353e-06,0.000122641509433962,2.24618149146451e-05,2.56064690026954e-05,0.000119946091644205,4.62713387241689e-05,2.47079964061096e-05,9.1644204851752e-05,1.93171608265948e-05,5.84007187780773e-05,3.05480682839173e-05,5.75022461814915e-05,2.24618149146451e-05,7.05300988319856e-05,5.30098831985624e-05,1.48247978436658e-05,1.12309074573226e-05,5.75022461814915e-05,2.60557053009883e-05,7.27762803234501e-05,1.93171608265948e-05,1.03324348607367e-05,0.0001392632524708,1.03324348607367e-05,8.53548966756514e-05,1.21293800539084e-05,0.000120844564240791,4.5822102425876e-05,1.25786163522013e-05,6.78346810422282e-05,3.09973045822102e-05,2.69541778975741e-06,1.34770889487871e-06,1.392632524708e-05
bLarFus1,0.132830630630631,0.197806306306306,0.0244067567567568,0.00498873873873874,0.00655315315315315,0.00504594594594595,0.395800900900901,0.00514954954954955,0.0276783783783784,0.00101351351351351,0.00385675675675676,0.00487027027027027,0.00729684684684685,0.00225675675675676,0.00465495495495495,0.00306351351351351,0.000535135135135135,0.0416671171171171,0.000545945945945946,0.0110346846846847,0.0537626126126126,0.000286936936936937,0.00505540540540541,0.0193112612612613,0.00031981981981982,0.0138009009009009,0.0024518018018018,0.000141441441441441,0.000377927927927928,0.00111036036036036,0.000371621621621622,0.000153603603603604,0.000242792792792793,0.00266891891891892,0.000136486486486486,5.04504504504505e-05,0.00024009009009009,4.54954954954955e-05,0.000188288288288288,0.000387837837837838,7.79279279279279e-05,4.63963963963964e-05,1e-04,0.000468918918918919,0.000302252252252252,4.81981981981982e-05,1.84684684684685e-05,0.000457657657657658,0.000134684684684685,3.28828828828829e-05,0.000288288288288288,0.000314864864864865,0.000187837837837838,7.65765765765766e-05,0.000152252252252252,0.000261261261261261,8.87387387387387e-05,4.27927927927928e-05,8.78378378378378e-05,5.76576576576577e-05,0.0110698198198198,6.66666666666667e-05,0.000168918918918919,9.00900900900901e-05,8.37837837837838e-05,0.000110810810810811,0.000159459459459459,0.000227027027027027,4.32432432432432e-05,7.43243243243243e-05,7.16216216216216e-05,0.000393243243243243,6.17117117117117e-05,3.15315315315315e-05,4.14414414414414e-05,0.00033018018018018,2.34234234234234e-05,2.88288288288288e-05,4.54954954954955e-05,0.00010045045045045,2.11711711711712e-05,4.41441441441441e-05,7.25225225225225e-05,0.000153603603603604,2.47747747747748e-05,0.000126576576576577,4.05405405405405e-05,0.000122972972972973,2.61261261261261e-05,4.0990990990991e-05,0.000122072072072072,5.40540540540541e-05,6.30630630630631e-05,9.5945945945946e-05,0.000152702702702703,7.7027027027027e-05,3.87387387387387e-05,6.3963963963964e-05,3.15315315315315e-05
bPhaCar2,0.211930337078652,0.106135280898876,0.150471460674157,0.015683595505618,0.0138979775280899,0.0240098876404494,0.355105168539326,0.00567415730337079,0.0510444943820225,0.0057523595505618,0.00270606741573034,0.0086085393258427,0.0176076404494382,0.00207505617977528,0.0035123595505618,0.00125123595505618,0.000271460674157303,0.00156808988764045,0.000447191011235955,0.00158202247191011,0.000335280898876404,0.000333483146067416,0.000833258426966292,0.00450247191011236,5.12359550561798e-05,0.00041438202247191,0.00090561797752809,0.000130337078651685,0.0011685393258427,0.000673258426966292,0.000700674157303371,0.000773033707865169,0.000143370786516854,0.00010247191011236,0.000159550561797753,8.08988764044944e-05,0.000550112359550562,0.000211685393258427,8.08988764044944e-05,0.00013123595505618,0.000247191011235955,0.000141573033707865,0.00128314606741573,0.00024314606741573,0.000122247191011236,0.000158202247191011,7.14606741573034e-05,7.19101123595506e-05,0.000120449438202247,0.000503370786516854,9.84269662921348e-05,0.000102022471910112,0.000118202247191011,0.000147865168539326,0.000549662921348315,4.40449438202247e-05,5.57303370786517e-05,4.71910112359551e-05,0.000121797752808989,9.39325842696629e-05,9.43820224719101e-06,7.32584269662921e-05,0.000144269662921348,0.000251685393258427,0.000258876404494382,4.98876404494382e-05,9.25842696629214e-05,0.000128539325842697,0.000180674157303371,0.000212134831460674,0.000115056179775281,0.000355505617977528,1.34831460674157e-06,1.57303370786517e-05,0.000144269662921348,1.34831460674157e-05,0.000248089887640449,2.02247191011236e-05,4.85393258426966e-05,8.22471910112359e-05,3.95505617977528e-05,6.02247191011236e-05,0.000675955056179775,2.65168539325843e-05,7.19101123595506e-05,6.69662921348315e-05,9.1685393258427e-05,0.000113258426966292,1.1685393258427e-05,0.000199550561797753,4.13483146067416e-05,3.19101123595506e-05,4.49438202247191e-06,1.52808988764045e-05,2.06741573033708e-05,6.92134831460674e-05,3.91011235955056e-05,1.12359550561798e-05,5.84269662921348e-06
bTetUro1,0.201728500675371,0.138264745610086,0.0512264745610086,0.00269968482665466,0.0692877082395317,0.00357136425033769,0.357479063484917,0.00658442143178748,0.00226384511481315,0.000725348941918055,0.00225844214317875,0.00231022062134174,0.0105898244034219,0.00142548401620891,0.00238226024313372,0.00165961278703287,0.00094957226474561,0.0987964880684376,0.00229446195407474,0.00624223322827555,0.00734443944169293,0.00285411976587123,0.00109950472760018,0.000589824403421882,0.000159837910850968,0.00597163439891941,0.000387663214768122,9.54524988743809e-05,0.00024898694281855,0.000283656010805943,0.000366051328230527,0.000697433588473661,0.000395767672219721,0.00425844214317875,9.23007654209815e-05,5.22287257991896e-05,0.000412426834759118,5.67312021611887e-05,8.82485366951824e-05,0.000227375056280955,9.23007654209815e-05,3.64700585321927e-05,0.000235479513732553,0.000152633948671769,0.000116614137775777,0.000135524538496173,3.10670868977938e-05,8.28455650607834e-05,0.00040027014858172,7.74425934263845e-05,0.000239981990094552,0.000162089149031968,0.000164340387212967,0.000135974786132373,0.000114813147230977,5.08779828905898e-05,7.33903647005853e-05,0.000123818099954975,7.29401170643854e-05,0.00015173345339937,3.46690679873931e-05,0.000145429986492571,0.000132372805042774,0.000321026564610536,9.90544799639802e-06,3.69203061683926e-05,4.997748761819e-05,0.000941918054930212,9.27510130571815e-05,8.14948221521837e-05,0.000140477262494372,0.000294461954074741,4.27735254389914e-05,2.56641152633949e-05,1.57586672669968e-05,8.55470508779829e-05,3.24178298063935e-05,4.27735254389914e-05,4.27735254389914e-05,6.75371454299865e-05,2.02611436289959e-05,0.000217919855920756,0.000159387663214768,2.61143628995948e-05,1.9810895992796e-05,3.24178298063935e-05,0.000109410175596578,3.24178298063935e-05,0.00015038271049077,0.00470688878883386,1.93606483565961e-05,5.40297163439892e-06,6.79873930661864e-05,0.000188653759567762,0.000147230977037371,0.00020036019810896,5.89824403421882e-05,3.60198108959928e-05,9.18505177847816e-05
daAjuCham1,0.147424392439244,0.0953163816381638,0.244503150315032,0.0674243924392439,0.0236107110711071,0.0234491449144914,0.00215526552655266,0.00272952295229523,0.286644464446445,0.0619437443744374,0.00150630063006301,0.00173627362736274,0.00894419441944194,0.00278037803780378,0.000717821782178218,0.00934833483348335,0.000301530153015302,0.0010994599459946,0.000787578757875788,0.000977497749774977,0.000277677767776778,0.000705670567056706,0.000967596759675968,0.000505850585058506,0.000105760576057606,0.000297479747974797,0.000318181818181818,7.96579657965797e-05,0.000214671467146715,0.000509450945094509,0.00011026102610261,0.000326282628262826,0.000121962196219622,0.000344284428442844,0.000236273627362736,4.54545454545455e-05,6.48064806480648e-05,0.000194869486948695,0.000147164716471647,9.18091809180918e-05,8.01080108010801e-05,0.00122097209720972,0.000415391539153915,0.000114311431143114,0.000212421242124212,6.39063906390639e-05,3.6003600360036e-06,0.00104635463546355,5.4005400540054e-05,5.58055805580558e-05,6.70567056705671e-05,0.000548154815481548,8.32583258325833e-05,0.000112511251125113,0.000247074707470747,0.000937893789378938,1.26012601260126e-05,4.86048604860486e-05,0.00039018901890189,2.88028802880288e-05,3.6003600360036e-05,0.000210621062106211,0.000261926192619262,4.77047704770477e-05,6.3006300630063e-06,1.66516651665167e-05,3.6003600360036e-05,0.000127812781278128,0.000124212421242124,9.63096309630963e-05,0.000601260126012601,5.17551755175518e-05,4.77047704770477e-05,2.74527452745275e-05,8.32583258325833e-05,6.21062106210621e-05,2.2952295229523e-05,4.54545454545455e-05,0.000233123312331233,6.25562556255625e-05,2.11521152115212e-05,3.42034203420342e-05,0.00106210621062106,2.47524752475248e-05,0.000108010801080108,0.000168766876687669,0.000214671467146715,3.33033303330333e-05,0.000151215121512151,9.99099909990999e-05,6.75067506750675e-06,0.000118811881188119,0.000401890189018902,3.87038703870387e-05,6.61566156615662e-05,3.91539153915392e-05,0.000397839783978398,9.000900090009e-07,1.8001800180018e-06
