,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
bAccGen1,0.0535042293233083,0.134634868421053,0.0144483082706767,0.0737091165413534,0.0146531954887218,0.0324882518796992,0.00748402255639098,0.00983740601503759,0.00476221804511278,0.0143778195488722,0.130857612781955,0.394371240601504,0.0283815789473684,0.00244266917293233,0.0145916353383459,0.00951362781954887,0.00475563909774436,0.000946428571428571,0.00267434210526316,0.00376644736842105,0.0128698308270677,0.00205545112781955,0.000408834586466165,0.000360432330827068,0.00413251879699248,0.000294642857142857,0.000789003759398496,0.00339050751879699,0.000203477443609023,0.00118139097744361,0.0057312030075188,0.000507518796992481,0.000865131578947368,0.000150845864661654,0.00133693609022556,0.000852443609022556,0.000219924812030075,8.08270676691729e-05,4.13533834586466e-05,0.000326127819548872,0.000659304511278195,8.88157894736842e-05,0.000407424812030075,0.000149436090225564,0.000790883458646616,0.00225516917293233,8.27067669172932e-05,0.000826597744360902,0.000514567669172932,0.000138627819548872,0.000148966165413534,7.18984962406015e-05,0.000388157894736842,0.00056390977443609,0.000271616541353383,0.000151315789473684,8.03571428571429e-05,0.00012265037593985,0.000117481203007519,0.00012781954887218,0.000114661654135338,8.7406015037594e-05,8.08270676691729e-05,8.31766917293233e-05,0.000113721804511278,0.000165883458646617,7.00187969924812e-05,5.16917293233083e-05,0.000177631578947368,5.49812030075188e-05,0.000209116541353383,3.85338345864662e-05,0.000106203007518797,6.8609022556391e-05,9.44548872180451e-05,1.92669172932331e-05,0.000131109022556391,5.87406015037594e-05,3.24248120300752e-05,1.78571428571429e-05,1.69172932330827e-05,6.57894736842105e-05,9.77443609022556e-05,1.31578947368421e-05,2.39661654135338e-05,7.23684210526316e-05,0.00012734962406015,0.000513627819548872,0.000121710526315789,0.000430451127819549,4.27631578947368e-05,3.43045112781955e-05,5.54511278195489e-05,6.53195488721805e-05,9.96240601503759e-05,4.79323308270677e-05,3.90037593984962e-05,0.000183270676691729,5.31015037593985e-05,1.55075187969925e-05,0.000140507518796992,7.04887218045113e-06
bAnaAcu1,0.0385702905342081,0.0735749765698219,0.0216541705716963,0.0435426429240862,0.0292624179943768,0.0534254920337395,0.00535285848172446,0.0158083411433927,0.0181494845360825,0.0922952202436739,0.000690721649484536,0.362308341143393,0.00184536082474227,0.000950796626054358,0.0660848172446111,0.143276476101218,0.000577788191190253,0.00176288659793814,0.00277272727272727,0.00084348641049672,0.00432193064667291,0.000928772258669166,0.000631208997188379,0.0006485473289597,0.000409559512652296,0.000268978444236176,0.00184301780693533,0.0026485473289597,0.000225398313027179,0.00170384254920337,0.00119681349578257,0.0003514526710403,0.000262417994376757,0.000143861293345829,0.000748828491096532,0.000387066541705717,2.43673851921275e-05,4.63917525773196e-05,0.000235238987816307,0.000654170571696345,0.000287253983130272,0.000100281162136832,0.000250702905342081,0.000326148078725398,8.62230552952202e-05,0.000124179943767573,0.000256794751640112,0.000186035613870665,1.35895032802249e-05,0.00216635426429241,0.000379100281162137,4.26429240862231e-05,7.68509840674789e-05,0.000101686972820993,1.64011246485473e-05,0.000110121836925961,0.000369259606373008,4.17057169634489e-05,0.000127460168697282,6.56044985941893e-05,0.000205248359887535,4.17057169634489e-05,0.000190721649484536,0.000119962511715089,0.000103561387066542,0.00026194939081537,3.70196813495783e-05,8.85660731021556e-05,1.35895032802249e-05,2.34301780693533e-05,7.59137769447048e-05,0.00013730084348641,0.0013153701968135,0.000111996251171509,5.95126522961575e-05,8.95032802249297e-05,0.000102155576382381,0.000122774133083411,5.76382380506092e-05,0.000106373008434864,3.514526710403e-05,9.98125585754452e-05,7.21649484536082e-05,7.029053420806e-06,8.90346766635426e-06,6.56044985941893e-05,8.66916588566073e-05,1.21836925960637e-05,4.2174320524836e-05,6.56044985941893e-06,1.96813495782568e-05,0.00012136832239925,4.12371134020619e-05,0.000190253045923149,9.74695407685098e-05,7.35707591377694e-05,1.21836925960637e-05,1.73383317713215e-05,6.18556701030928e-05,1.45267104029991e-05,7.7788191190253e-05,1.4058106841612e-05
bAnsBra1,0.0812380056444026,0.0511627469426152,0.0215912511759172,0.124983066792098,0.0052140169332079,0.00340874882408278,0.0753113828786453,0.00648353715898401,0.00276434619002822,0.00492097836312324,0.00142144873000941,0.257108184383819,0.00217591721542803,0.00222530573847601,0.104005174035748,0.207694261523989,0.00284666039510818,0.00179868297271872,0.00152822201317027,0.00188664158043274,0.00195155221072437,0.00268250235183443,0.000377704609595484,0.000120413922859831,0.00376716839134525,0.000172154280338664,0.00208278457196613,0.000545625587958608,0.00010865475070555,0.00477798682972719,0.000748353715898401,0.000272342427093133,0.000825023518344309,0.000218720602069614,0.000630291627469426,0.000466133584195673,4.8447789275635e-05,3.48071495766698e-05,0.000689087488240828,0.00272812793979304,0.000798212605832549,0.000257290686735654,0.000134524929444967,0.000368767638758231,0.000228127939793039,0.000201317027281279,0.000319379115710254,6.53809971777987e-05,0.000122765757290687,2.68109125117592e-05,0.000135465663217309,0.000164158043273754,0.000106773283160865,0.000210724365004704,0.00172107243650047,0.000107243650047037,0.000260583254938852,0.000113828786453434,0.000198494825964252,2.77516462841016e-05,0.00130997177798683,4.98588899341486e-05,6.30291627469426e-05,3.05738476011289e-05,0.00251128880526811,0.000442144873000941,0.000329256820319849,0.00128504233301976,0.000122295390404516,0.000329727187206021,0.000690498588899342,0.000297271872060207,1.50517403574788e-05,0.000277986829727187,1.78739416745061e-05,0.000160395108184384,4.1862652869238e-05,7.66698024459078e-05,0.000385230479774224,3.10442144873001e-05,9.64252116650988e-05,4.51552210724365e-05,3.19849482596425e-05,0.000334901222953904,8.70178739416745e-05,0.000413922859830668,2.06961429915334e-05,3.76293508936971e-05,1.45813734713076e-05,0.000272342427093133,4.56255879586077e-05,0.000103951081843838,9.45437441204139e-05,3.99811853245532e-05,3.15145813734713e-05,0.000273283160865475,9.73659454374412e-05,6.11476952022578e-06,2.68109125117592e-05,0.000232831608654751,0.000626999059266228,1.41110065851364e-05
bCinCin1,0.112048849224988,0.0355288868013152,0.0111155472052607,0.209501174260216,0.0133175199624237,0.00467261625176139,0.0156449037106623,0.0080183184593706,0.00102912165335838,0.00822404884922499,0.00135650540159699,0.161693752935651,0.000891498356035697,0.00235086895255989,0.189594645373415,0.104585720995773,0.00075716298731799,0.000575387505871301,0.00111930483795209,0.00141991545326444,0.00491921089713481,0.00080037576326914,0.00215782057303899,0.000143259746359793,0.0002977923907938,0.000173790511977454,0.00203334899013621,0.000551432597463598,0.00217989666510099,0.0870554250821982,0.000523250352278065,0.00020385157350869,0.000352747768905589,0.000175199624236731,0.000872710192578675,0.000900892437764209,3.85157350868953e-05,0.000278534523250352,0.00164302489431658,0.000380460310004697,0.000529356505401597,0.000147956787224049,0.00174776890558948,0.000574917801784876,0.0002977923907938,0.000613433536871771,0.000171441991545326,0.000134805072804133,4.36824800375763e-05,4.27430718647252e-05,0.000144199154532644,1.7848755284171e-05,0.000416157820573039,5.82433067167684e-05,6.10615312353218e-05,0.00171113198684829,4.74401127289807e-05,0.000437294504462189,0.000186002818224519,8.26679192108971e-05,8.97134805072804e-05,1.40911225927666e-05,0.000101925786754345,9.76984499765148e-05,0.000218412400187882,0.000108031939877877,3.1470173790512e-05,4.41521841240019e-05,3.75763269140442e-05,0.000106153123532175,3.42883983090653e-05,0.000224518553311414,6.05918271488962e-05,0.00024283701268201,0.000137623297322687,2.58337247534054e-05,3.52278064819164e-05,0.000383748238609676,2.06669798027243e-05,0.000163457022076092,1.12728980742132e-05,3.47581023954908e-05,7.89102865194927e-05,6.85767966181306e-05,3.80460310004697e-05,8.36073273837482e-05,1.08031939877877e-05,3.28792860497886e-05,0.000172851103804603,8.31376232973227e-05,5.02583372475341e-05,5.16674495068107e-06,9.67590418036637e-05,2.3015500234852e-05,1.03334899013621e-05,2.34852043212776e-06,9.9577266322217e-05,0.000116016909347111,1.17426021606388e-05,2.95913574448098e-05,0.000163457022076092,5.63644903710662e-06
bClaHye2,0.0486039603960396,0.0280796793965111,0.0133946251768034,0.0655728429985856,0.0174323432343234,0.00548420556341348,0.0509354078264969,0.0050980669495521,0.0130839226779821,0.00566996699669967,0.0117614332861858,0.30933946251768,0.00292079207920792,0.0077006129184347,0.103771805752004,0.243779820839227,0.000851485148514851,0.00224045261669024,0.026006600660066,0.00512305516265912,0.00252852428099953,0.000740688354549741,0.000323432343234323,0.000409240924092409,0.000928335690711928,0.0003998114097124,0.00123385195662423,0.000772748703441773,0.000143328618576143,0.00222395096652522,0.000956152758132956,0.000275813295615276,0.00497406883545497,0.000301744460160302,0.000301744460160302,0.00043045733144743,2.02734559170203e-05,0.000106082036775106,0.00113248467703913,0.000252239509665252,0.000333333333333333,5.28052805280528e-05,0.00285855728429986,0.000187647336162188,0.000278642149929279,0.000432343234323432,7.54361150400754e-05,0.000145685997171146,0.000479490806223479,2.4045261669024e-05,0.000280528052805281,8.2979726544083e-05,0.000351249410655351,0.00307685054219708,0.000671381423856671,0.000356907119283357,0.000255539839698256,7.96793965110797e-05,0.000103253182461103,0.000210749646393211,0.000636020744931636,4.80905233380481e-05,2.16878830740217e-05,3.3003300330033e-05,0.000113154172560113,0.000116925978312117,8.62800565770863e-05,5.46911834040547e-05,0.000741631305987742,0.000254596888260255,0.000347477604903347,3.91324846770391e-05,6.69495520980669e-05,7.35502121640736e-05,0.000260726072607261,3.01744460160302e-05,7.4964639321075e-05,5.37482319660537e-05,0.0001004243281471,0.000149457802923149,4.00754361150401e-05,2.78170674210278e-05,6.78925035360679e-05,4.95049504950495e-05,7.35502121640736e-05,9.42951438000943e-06,2.82885431400283e-05,8.53371051390853e-05,3.81895332390382e-05,4.95049504950495e-05,9.00518623290901e-05,8.86374351720886e-05,6.64780763790665e-05,1.55586987270156e-05,3.20603488920321e-05,4.1961338991042e-05,6.45921735030646e-05,3.06459217350306e-05,3.39462517680339e-05,1.6973125884017e-05,9.57095709570957e-05,8.48656294200849e-06
bFriCoe1,0.16128,0.0259181176470588,0.0793157647058823,0.0830776470588235,0.0489181176470588,0.00412517647058824,0.00911811764705882,0.0159590588235294,0.00498917647058824,0.0268809411764706,0.00334211764705882,0.084672,0.000789176470588235,0.018016,0.337849411764706,0.0120865882352941,0.000690823529411765,0.00119294117647059,0.00103952941176471,0.000666823529411765,0.0121515294117647,0.00108752941176471,0.00697552941176471,0.000215058823529412,0.000504941176470588,0.000288941176470588,0.00102964705882353,0.0136009411764706,0.000573647058823529,0.0197374117647059,0.00028,0.000352941176470588,0.000465882352941176,0.000161882352941176,0.00445741176470588,0.00187811764705882,1.55294117647059e-05,0.000116235294117647,0.000160941176470588,0.00120894117647059,0.000331294117647059,0.000182117647058824,0.00157741176470588,0.000803294117647059,0.000204705882352941,0.000505411764705882,0.000291294117647059,6.82352941176471e-05,6.30588235294118e-05,2.21176470588235e-05,0.000439529411764706,5.88235294117647e-05,0.000176,2.30588235294118e-05,0.000168941176470588,0.00125270588235294,9.22352941176471e-05,0.000203764705882353,2.72941176470588e-05,6.35294117647059e-05,8.75294117647059e-05,1.64705882352941e-05,6.77647058823529e-05,0.00241741176470588,0.000356705882352941,3.67058823529412e-05,3.38823529411765e-05,0.000111058823529412,4.56470588235294e-05,0.000446588235294118,4.8e-05,2.02352941176471e-05,7.90588235294118e-05,0.000142588235294118,0.000128941176470588,6.63529411764706e-05,0.000198588235294118,0.000235294117647059,5.69411764705882e-05,0.000147764705882353,2.07058823529412e-05,2.96470588235294e-05,0.000713411764705882,4.14117647058824e-05,0.000208,0.00112094117647059,2.25882352941176e-05,4.28235294117647e-05,5.08235294117647e-05,0.000199529411764706,2.91764705882353e-05,2.96470588235294e-05,4.42352941176471e-05,0.000210823529411765,6.96470588235294e-05,0.000207058823529412,0.000270588235294118,9.27058823529412e-05,7.05882352941176e-06,9.41176470588235e-07,9.88235294117647e-05,4.70588235294118e-07
bLarFus1,0.0508956766917293,0.161008458646617,0.00628477443609023,0.00868468045112782,0.00439520676691729,0.149792763157895,0.00521193609022556,0.0142011278195489,0.00311466165413534,0.00428054511278195,0.00263815789473684,0.365947838345865,0.00389661654135338,0.00228336466165414,0.00207142857142857,0.00676503759398496,0.00162312030075188,0.0277203947368421,0.00460432330827068,0.00238862781954887,0.00886137218045113,0.115848684210526,0.000414003759398496,0.000343984962406015,0.00081203007518797,0.000399436090225564,0.00676080827067669,0.00312546992481203,0.000234022556390977,0.000605733082706767,0.00235573308270677,0.013750469924812,0.00237124060150376,0.000267387218045113,0.000817669172932331,0.000956766917293233,5.59210526315789e-05,0.000171992481203007,0.000105733082706767,0.000348684210526316,0.000382518796992481,0.000114661654135338,0.0012843045112782,0.000652255639097744,0.00024906015037594,0.000274906015037594,0.000586466165413534,0.000165883458646617,0.000162593984962406,0.00099812030075188,0.000726033834586466,0.000128289473684211,0.000375,0.000157894736842105,0.000156954887218045,0.000403195488721804,0.000177161654135338,0.000220394736842105,0.00056296992481203,0.000146616541353383,0.000109962406015038,0.00031531954887218,5.35714285714286e-05,0.000113721804511278,9.91541353383459e-05,0.000179511278195489,0.000160714285714286,0.000114191729323308,4.13533834586466e-05,6.10902255639098e-05,0.000221804511278195,0.000169642857142857,5.96804511278195e-05,0.000206296992481203,0.000245300751879699,8.50563909774436e-05,7.00187969924812e-05,8.27067669172932e-05,0.000197838345864662,3.38345864661654e-05,0.000354793233082707,6.10902255639098e-05,0.000150845864661654,8.36466165413534e-05,5.40413533834586e-05,5.54511278195489e-05,8.92857142857143e-06,8.7406015037594e-05,9.96240601503759e-05,5.87406015037594e-05,8.83458646616541e-05,8.45864661654135e-06,0.000139097744360902,0.000595864661654135,0.000210996240601504,8.64661654135338e-05,1.73872180451128e-05,8.17669172932331e-05,0.00056203007518797,4.79323308270677e-05,0.000168703007518797,1.64473684210526e-05
bPhaCar2,0.0337366197183099,0.104545070422535,0.0389732394366197,0.0206089201877934,0.0129633802816901,0.0185507042253521,0.0697446009389671,0.0092962441314554,0.017512676056338,0.0712492957746479,0.00180234741784038,0.445184507042254,0.00763661971830986,0.00160328638497653,0.0273286384976526,0.0746995305164319,0.00163849765258216,0.00130985915492958,0.00671220657276995,0.00382300469483568,0.00520610328638498,0.000944131455399061,0.000230985915492958,0.000123474178403756,0.000909859154929577,0.000123474178403756,0.00115352112676056,0.00138262910798122,0.000178403755868545,0.00146807511737089,0.00184553990610329,0.000707981220657277,0.0012093896713615,0.000236150234741784,0.000707981220657277,0.00076056338028169,7.79342723004695e-05,7.79342723004695e-05,0.000335211267605634,0.000495305164319249,0.000133802816901408,0.000103755868544601,0.000119718309859155,0.000173239436619718,0.00121643192488263,0.00112253521126761,0.00162018779342723,0.000210798122065728,0.000600469483568075,5.30516431924883e-05,0.000244131455399061,0.000188732394366197,0.000488732394366197,0.000111267605633803,0.000357746478873239,0.00224600938967136,0.000121596244131455,0.000271361502347418,0.000119718309859155,2.53521126760563e-05,0.000268544600938967,2.15962441314554e-05,3.56807511737089e-05,0.000243661971830986,8.16901408450704e-05,6.66666666666667e-05,7.79342723004695e-05,5.86854460093897e-05,6.57276995305164e-06,0.000123943661971831,3.89671361502347e-05,4.46009389671361e-05,0.000209859154929577,0.000135680751173709,9.57746478873239e-05,0.000131455399061033,9.29577464788732e-05,4.7887323943662e-05,0.000211267605633803,0.000154929577464789,0.000116901408450704,3.70892018779343e-05,6.57276995305164e-05,2.72300469483568e-05,8.77934272300469e-05,3.14553990610329e-05,4.60093896713615e-05,9.38967136150235e-06,1.92488262910798e-05,4.46009389671361e-05,0.000130046948356808,1.69014084507042e-05,1e-04,8.4037558685446e-05,8.92018779342723e-05,1.78403755868545e-05,7.23004694835681e-05,0.000107981220657277,4.13145539906103e-05,1.83098591549296e-05,6.57276995305164e-05,0
bTetUro1,0.128977422389464,0.154481655691439,0.00370931326434619,0.0906133584195673,0.0020964252116651,0.100024929444967,0.00401975540921919,0.0283015051740357,0.00137394167450611,0.00277751646284102,0.00223236124176858,0.324716839134525,0.00161571025399812,0.00157949200376294,0.00596801505174036,0.0452525870178739,0.0113381937911571,0.0134562558795861,0.00774600188146754,0.00610442144873001,0.00403339604891816,0.010585136406397,0.00129962370649106,0.000263875823142051,0.00080244590780809,0.000256349952963311,0.0063447789275635,0.0167295390404516,0.0014035747883349,0.000590310442144873,0.00166698024459078,0.000488711194731891,0.000212605832549389,0.000619473189087488,0.00086829727187206,0.000565380997177799,0.000145343367826905,0.000107714016933208,0.00035653809971778,0.000203198494825964,0.000625587958607714,0.000253998118532455,0.00310865475070555,0.00143979303857008,0.000856067732831609,0.000242709313264346,0.000124647224835372,3.62182502351834e-05,0.000128880526810913,5.40921919096896e-05,8.88993414863594e-05,2.58701787394167e-05,9.17215428033866e-05,0.00102398871119473,2.77516462841016e-05,0.000489181561618062,0.000285983066792098,0.000120413922859831,0.000191909689557855,0.00023659454374412,0.000208842897460019,9.26622765757291e-05,0.00065898400752587,9.87770460959548e-05,0.000238005644402634,0.000132643461900282,7.10253998118533e-05,8.32549388523048e-05,4.89181561618062e-05,6.02069614299153e-05,9.689557855127e-05,5.5032925682032e-05,6.63217309501411e-05,8.93697083725306e-05,1.78739416745061e-05,7.19661335841957e-05,6.53809971777987e-05,0.000151458137347131,3.01034807149577e-05,0.000100188146754468,0.000104421448730009,5.97365945437441e-05,7.66698024459078e-05,1.64628410159925e-05,2.68109125117592e-05,0.000103010348071496,0.000154750705550329,7.80809031044214e-05,7.00846660395108e-05,0.00015098777046096,5.26810912511759e-05,9.54844778927564e-05,4.28033866415804e-05,0.000132643461900282,9.31326434619003e-05,5.03292568203199e-05,0.000145343367826905,0.00191580432737535,0.000661335841956726,1.74035747883349e-05,9.87770460959548e-05,3.33960489181562e-05
daAjuCham1,0.0367474129821261,0.0712949200376294,0.0898532455315146,0.0379280338664158,0.12541768579492,0.0364995296331138,0.132434148635936,0.0743099717779868,0.249342897460019,0.00490874882408278,0.00214910630291627,0.00376857949200376,0.00159125117591722,0.00305738476011289,0.0781411100658514,0.00164487300094073,0.00162982126058325,0.0049035747883349,0.00225352775164628,0.000594543744120414,0.00582408278457197,0.000892756349952963,0.00041862652869238,0.000478833490122295,0.000284571966133584,0.000193320790216369,0.000710253998118532,0.0107850423330198,0.000343367826904986,0.00132220131702728,0.00032173095014111,0.000564910630291627,0.00043038570084666,0.000685794920037629,0.0054035747883349,0.000182502351834431,8.13734713076199e-05,0.000127469426152399,0.000170743179680151,0.00126716839134525,0.000122295390404516,0.000143932267168391,0.000240827845719661,0.000302916274694262,0.00298730009407338,6.49106302916275e-05,0.000110065851364064,0.000187676387582314,7.80809031044214e-05,0.000158513640639699,0.000149106302916275,3.43367826904986e-05,5.45625587958608e-05,0.00077140169332079,6.44402634054563e-05,0.000132643461900282,0.000749294449670743,0.000792568203198495,8.09031044214487e-05,3.76293508936971e-05,6.44402634054563e-05,0.000443085606773283,8.60771401693321e-05,0.000106773283160865,6.86735653809972e-05,4.09219190968956e-05,6.67920978363123e-05,0.000250235183443086,0.000123706491063029,5.78551269990593e-05,4.93885230479774e-05,5.36218250235183e-05,8.84289746001882e-05,0.000150517403574788,8.41956726246472e-05,2.96331138287865e-05,5.36218250235183e-05,0.000173565380997178,7.0555032925682e-05,2.44590780809031e-05,8.46660395108184e-06,3.24553151458137e-05,3.5277516462841e-05,0.000161806208842897,8.46660395108184e-06,5.22107243650047e-05,0.000190968955785513,0.000287394167450611,5.36218250235183e-05,2.72812793979304e-05,0.000106773283160865,1.08184383819379e-05,0.000121354656632173,0.000244590780809031,2.82220131702728e-06,5.64440263405456e-06,1.50517403574788e-05,0.00014722483537159,6.06773283160866e-05,1.41110065851364e-06,0.000114769520225776,1.88146754468485e-06
