Reference sample	Sample	Species	Common name	Family taxon	Superkingdom	Kingdom	Phylum	Subphylum	Class	Superclass	Infraclass	Order
ddPopNigr1	ddPopNigr1	Populus nigra	.	3688	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Malpighiales
ddPriVeri1	ddPriVeri1	Primula veris	.	4335	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Ericales
ddSalCapr1	ddSalCapr1	Salix caprea	.	3688	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Malpighiales
ddVioOdor1	ddVioOdor1	Viola odorata	sweet violet	24921	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Malpighiales
dhAlnGlut1	dhAlnGlut1	Alnus glutinosa	.	3514	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Fagales
dmBerVulg1	dmBerVulg1	Berberis vulgaris	.	41773	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Ranunculales
drAilAlti1	drAilAlti1	Ailanthus altissima	tree of heaven	23808	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Sapindales
drAstGlyc1	drAstGlyc1	Astragalus glycyphyllos	liquorice milkvetch	3803	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Fabales
drBuxSemp1	drBuxSemp1	Buxus sempervirens	.	4000	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Buxales
drChaAngu1	drChaAngu1	Chamaenerion angustifolium	.	3934	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Myrtales
drCraLaev2	drCraLaev2	Crataegus laevigata	midland hawthorn	3745	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Rosales
drEroMari8	drEroMari8	Erodium maritimum	.	4027	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Geraniales
drFilUlma1	drFilUlma1	Filipendula ulmaria	.	3745	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Rosales
drGeuUrba1	drGeuUrba1	Geum urbanum	.	3745	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Rosales
drHedHeli1	drHedHeli1	Hedera helix	.	4050	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Apiales
