Reference sample	Sample	Species	Common name	Family taxon	Superkingdom	Kingdom	Phylum	Subphylum	Class	Superclass	Infraclass	Order
icRhaFulv1	icRhaFulv1	Rhagonycha fulva	common red soldier beetle	41097	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icSilAtra2	icSilAtra2	Phosphuga atrata	black snail beetle	57514	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
idAcrOrbc1	idAcrOrbc1	Acrocera orbiculus	top horned hunchback	92616	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idBacElon1	idBacElon1	Baccha elongata	gossamer hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idBelPand1	idBelPand1	Bellardia pandia	bisetose emerald bottle	7371	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idBerChal2	idBerChal2	Beris chalybata	yellow legged black legionnaire	34687	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idBibMarc1	idBibMarc1	Bibio marci	St. Mark's fly	52729	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idBleFall4	idBleFall4	Blera fallax	pine hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idBomDisc1	idBomDisc1	Bombylius discolor	dotted bee fly	50674	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idBomMajo1	idBomMajo1	Bombylius major	dark edged bee fly	50674	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idBraLaph1	idBraLaph1	Brachypalpus laphriformis	forest hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idCalVomi1	idCalVomi1	Calliphora vomitoria	.	7371	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idCheImpr3	idCheImpr3	Cheilosia impressa	.	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idChePaga1	idChePaga1	Cheilosia pagana	parsley Cheilosia	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idCheUrba1	idCheUrba1	Cheilosia urbana	hawkweed Cheilosia	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idCheVern2	idCheVern2	Cheilosia vernalis	yarrow Cheilosia	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idCheVulp2	idCheVulp2	Cheilosia vulpina	large burdock Cheilosia	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idChrBici1	idChrBici1	Chrysotoxum bicinctum	two banded wasp hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idCisGlob1	idCisGlob1	Cistogaster globosa	.	27474	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idCluTigr1	idCluTigr1	Clusia tigrina	.	286472	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idCoePili4	idCoePili4	Coelopa pilipes	.	169440	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idCorMarg1	idCorMarg1	Coremacera marginata	.	169447	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idCriBerb1	idCriBerb1	Criorhina berberina	dimorphic bear hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idDasAlbo1	idDasAlbo1	Dasysyrphus albostriatus	stripe backed Dasysyrphus	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idEpiBalt1	idEpiBalt1	Episyrphus balteatus	marmalade hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idEpiEuco1	idEpiEuco1	Epistrophella euchroma	.	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idEpiGros1	idEpiGros1	Epistrophe grossulariae	broad banded epistrophe	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idEpiSucc1	idEpiSucc1	Epicampocera succincta	.	27474	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idEriArbu1	idEriArbu1	Eristalis arbustorum	plane faced dronefly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idEriPert2	idEriPert2	Eristalis pertinax	tapered dronefly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idEriSepu1	idEriSepu1	Eristalinus sepulchralis	small spotty eyed dronefly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idEriTena2	idEriTena2	Eristalis tenax	the dronefly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idEupCoro1	idEupCoro1	Eupeodes corollae	.	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idEupLati1	idEupLati1	Eupeodes latifasciatus	meadow field syrph	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idGymRotn1	idGymRotn1	Gymnosoma rotundatum	.	27474	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idLeuLate1	idLeuLate1	Leucozona laternaria	dark saddled leucozona	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idLypDubi1	idLypDubi1	Lypha dubia	.	27474	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idMacAtri3	idMacAtri3	Machimus atricapillus	.	50673	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idMelAuri2	idMelAuri2	Meliscaeva auricollis	spotted Meliscaeva	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idMelMell2	idMelMell2	Melanostoma mellinum	dumpy grass hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idMyaFlor2	idMyaFlor2	Myathropa florea	batman hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idMyoTess1	idMyoTess1	Myopa tessellatipennis	.	115263	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idNemNigr1	idNemNigr1	Nemotelus nigrinus	.	34687	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idNeoCyan1	idNeoCyan1	Neoitamus cyanurus	common awl robberfly	50673	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idNeoInte1	idNeoInte1	Neoascia interrupta	bulrush Neoascia	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idNepAppe1	idNepAppe1	Nephrotoma appendiculata	spotted cranefly	41042	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idNepFlae1	idNepFlae1	Nephrotoma flavescens	cranefly	41042	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idNepScut1	idNepScut1	Nephrocerus scutellatus	.	43835	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idNowFero1	idNowFero1	Nowickia ferox	.	27474	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idPheCory1	idPheCory1	Pherbina coryleti	.	169447	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idPhyMeln1	idPhyMeln1	Phyto melanocephala	.	43758	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idPlaAlba1	idPlaAlba1	Platycheirus albimanus	white footed hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idPlaAlba1	idPlaAlba3	Platycheirus albimanus	white footed hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idPlaAlba1	idPlaAlba4	Platycheirus albimanus	white footed hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idPoeNobi2	idPoeNobi2	Poecilobothrus nobilitatus	.	92558	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idPolAmen1	idPolAmen1	Pollenia amentaria	black bellied clusterfly	54279	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idPolAngu1	idPolAngu1	Pollenia angustigena	narrow cheeked clusterfly	54279	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idPolDomi1	idPolDomi1	Polietes domitor	.	7366	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idProAzur1	idProAzur1	Protocalliphora azurea	bird blowfly	7371	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idRhiCamp1	idRhiCamp1	Rhingia campestris	common snout hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSarCaer1	idSarCaer1	Sarcophaga caerulescens	.	7381	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSarRose1	idSarRose1	Sarcophaga rosellei	.	7381	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSarSubv1	idSarSubv1	Sarcophaga subvicina	.	7381	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSarVari1	idSarVari1	Sarcophaga variegata	.	7381	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idScaPyra1	idScaPyra1	Scaeva pyrastri	pied hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSicFerr1	idSicFerr1	Sicus ferrugineus	ferruginous bee grabber	115263	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSphTaen1	idSphTaen1	Sphaerophoria taeniata	.	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idStoLuna1	idStoLuna1	Stomorhina lunata	.	1902070	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSuiVari3	idSuiVari3	Suillia variegata	.	219548	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSyrPipi1	idSyrPipi1	Syritta pipiens	thick legged hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSyrPipi1	idSyrPipi2	Syritta pipiens	thick legged hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSyrPipi1	idSyrPipi5	Syritta pipiens	thick legged hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSyrPipi1	idSyrPipi6	Syritta pipiens	thick legged hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSyrPipi1	idSyrPipi7	Syritta pipiens	thick legged hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSyrPipi1	idSyrPipi8	Syritta pipiens	thick legged hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSyrPipi1	idSyrPipi9	Syritta pipiens	thick legged hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSyrPipi1	idSyrPipi10	Syritta pipiens	thick legged hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idSyrPipi1	idSyrPipi11	Syritta pipiens	thick legged hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idTacFera2	idTacFera2	Tachina fera	.	27474	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idTacLuri1	idTacLuri1	Tachina lurida	.	27474	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idTheAcut1	idTheAcut1	Thecocarcelia acutangulata	.	27474	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idTheAtra2	idTheAtra2	Thecophora atra	.	115263	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idTheSoli1	idTheSoli1	Thelaira solivaga	.	27474	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idVolInan1	idVolInan1	Volucella inanis	lesser hornet hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idVolInfl1	idVolInfl1	Volucella inflata	cossus hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idXanPedi1	idXanPedi1	Xanthogramma pedissequum	hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
idXylSylv2	idXylSylv2	Xylota sylvarum	golden tailed hoverfly	34680	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Diptera
ihAcaHaem1	ihAcaHaem1	Acanthosoma haemorrhoidale	hawthorn shieldbug	236378	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Hemiptera
ihAelAcum1	ihAelAcum1	Aelia acuminata	Bishop's mitre shieldbug	160513	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Hemiptera
ihDrePlat2	ihDrePlat2	Drepanosiphum platanoidis	common sycamore aphid	27482	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Hemiptera
ihGonAcut1	ihGonAcut1	Gonocerus acuteangulatus	box bug	186376	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Hemiptera
iiAthCine2	iiAthCine2	Athripsodes cinereus	.	50642	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
iiGlyPell1	iiGlyPell1	Glyphotaelius pellucidus	.	50645	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
iiLimLuna2	iiLimLuna2	Limnephilus lunatus	.	50645	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
iiLimMarm1	iiLimMarm1	Limnephilus marmoratus	.	50645	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
iiLimRhom1	iiLimRhom1	Limnephilus rhombicus	.	50645	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAbrTril1	ilAbrTril1	Abrostola triplasia	dark spectacle	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAbrTrip1	ilAbrTrip1	Abrostola tripartita	the spectacle	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAceEphe1	ilAceEphe1	Acentria ephemerella	water veneer	268499	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAchFlav2	ilAchFlav2	Achlya flavicornis	yellow horned	104425	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAclCris2	ilAclCris2	Acleris cristana	tufted button	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAclEmar1	ilAclEmar1	Acleris emargana	notch wing button	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAclLite1	ilAclLite1	Acleris literana	lichen button	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAclSpar1	ilAclSpar1	Acleris sparsana	ashy button	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAcrAcer1	ilAcrAcer1	Acronicta aceris	the sycamore	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAcrLepo1	ilAcrLepo1	Acronicta leporina	the miller	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAcrPsix1	ilAcrPsix1	Acronicta psi	.	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAcrSuav1	ilAcrSuav1	Acrobasis suavella	thicket knot horn	7135	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAglIoxx1	ilAglIoxx1	Inachis io	European peacock	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAglUrti1	ilAglUrti1	Nymphalis urticae	small tortoiseshell	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAgoAren1	ilAgoAren1	Agonopterix arenella	brindled flat body	2681869	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAgoSubp1	ilAgoSubp1	Agonopterix subpropinquella	ruddy flat body	2681869	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAgrAura1	ilAgrAura1	Agriopis aurantiaria	scarce umber	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAgrCirc1	ilAgrCirc1	Agrochola circellaris	the brick	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAgrLeuc1	ilAgrLeuc1	Agriopis leucophaearia	spring usher	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAgrLota1	ilAgrLota1	Agrochola lota	.	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAgrMaci1	ilAgrMaci1	Agrochola macilenta	yellow line quaker	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAgrMarg1	ilAgrMarg1	Agriopis marginaria	dotted border	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAgrTris1	ilAgrTris1	Agriphila tristella	common grass veneer	268499	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAllOxya1	ilAllOxya1	Allophyes oxyacanthae	green brindled crescent	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAlsAesc1	ilAlsAesc1	Alsophila aescularia	March moth	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAmpBerb1	ilAmpBerb1	Amphipyra berbera	Svensson's copper underwing	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAmpLuce6	ilAmpLuce6	Amphipoea lucens	.	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAmpOcul1	ilAmpOcul1	Amphipoea oculea	ear moth	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAmpTrag2	ilAmpTrag2	Amphipyra tragopoginis	mouse moth	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAnaInnx2	ilAnaInnx2	Anarsia innoxiella	acer sober	32434	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAnoMund1	ilAnoMund1	Anorthoa munda	twin spotted quaker	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAntCard3	ilAntCard3	Anthocharis cardamines	orange tip	7114	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAntChix2	ilAntChix2	Antitype chi	.	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAntDeri1	ilAntDeri1	Anticlea derivata	streamer	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilApaEpom1	ilApaEpom1	Apamea epomidion	clouded brindle	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilApaMono1	ilApaMono1	Apamea monoglypha	dark arches	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilApaSord1	ilApaSord1	Apamea sordens	rustic shoulder knot	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilApeSyri1	ilApeSyri1	Apeira syringaria	lilac beauty	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAplEffo1	ilAplEffo1	Aplocera efformata	lesser treble bar	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilApoBetu1	ilApoBetu1	Apotomis betuletana	birch marble	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilApoBist1	ilApoBist1	Apomyelois bistriatella	heath knot horn	7135	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilApoCapr1	ilApoCapr1	Apotomis capreana	sallow marble	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilApoCrat1	ilApoCrat1	Aporia crataegi	black veined white	7114	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilApoHisp1	ilApoHisp1	Apocheima hispidaria	small brindled beauty	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilApoLima1	ilApoLima1	Apoda limacodes	.	115353	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilApoLuen1	ilApoLuen1	Aporophyla lueneburgensis	northern deep brown dart	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilApoNigr3	ilApoNigr3	Aporophyla nigra	.	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilApoTurb1	ilApoTurb1	Apotomis turbidana	white shouldered marble	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilArcCraa1	ilArcCraa1	Archips crataeganus	brown oak tortrix	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilArcXylo1	ilArcXylo1	Archips xylosteana	variegated golden tortrix	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAriAges1	ilAriAges1	Aricia agestis	brown argus	27544	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAriAges1	ilAriAges2	Aricia agestis	brown argus	27544	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAriArta2	ilAriArta2	Aricia artaxerxes	northern brown argus	27544	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAteCent1	ilAteCent1	Atethmia centrago	centre barred sallow	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAthMouf1	ilAthMouf1	Athrips mouffetella	dotted grey groundling	32434	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAutGamm1	ilAutGamm1	Autographa gamma	silver Y	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilAutPulc1	ilAutPulc1	Autographa pulchrina	beautiful golden Y	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilBemIchn1	ilBemIchn1	Bembecia ichneumoniformis	six belted clearwing	106496	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilBicAnyn1	ilBicAnyn1	Bicyclus anynana	squinting bush brown	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilBisBetu1	ilBisBetu1	Biston betularia	peppered moth	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilBlaAdus2	ilBlaAdus2	Blastobasis adustella	dingy dowd	173649	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilBlaLact1	ilBlaLact1	Blastobasis lacticolella	London dowd	173649	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilBolSele5	ilBolSele5	Boloria selene	silver meadow fritillary	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilBraVimi1	ilBraVimi1	Brachylomia viminalis	minor shoulder knot	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCalPalu1	ilCalPalu1	Calamotropha paludella	bulrush veneer	268499	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCamMarg1	ilCamMarg1	Campaea margaritaria	light emerald	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCarClav1	ilCarClav1	Caradrina clavipalpis	pale mottled willow	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCarKade1	ilCarKade1	Caradrina kadenii	.	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
