,0,1,2,3,4,5,6,7,8,9,10,11,12
bAccGen1,0.00829343114371457,0.277192397465822,0.696966988996332,0.00287129043014338,0.00331210403467823,0.00456852284094698,0.00010703567855952,4.36812270756919e-05,5.83527842614205e-05,0.00607802600866956,0.000404468156052017,8.63621207069023e-05,1.73391130376792e-05
bAnaAcu1,0.00298833333333333,0.289425333333333,0.66388,0.030103,0.0112736666666667,0.00211766666666667,0.000148333333333333,1.4e-05,7.33333333333333e-06,1.53333333333333e-05,4e-06,1.1e-05,1.2e-05
bAnsBra1,0.00242405063291139,0.319442371752165,0.663161558960693,0.00686242504996669,0.00609027315123251,0.00157594936708861,0.000266489007328448,5.89606928714191e-05,2.43171219187209e-05,2.76482345103264e-05,2.99800133244504e-06,6.16255829447035e-05,1.33244503664224e-06
bCinCin1,0.00871385742838108,0.387294803464357,0.585653897401732,0.00530512991339107,0.0110399733510993,0.00147834776815456,6.82878081279147e-05,4.73017988007995e-05,0.000103264490339773,0.000228847435043304,3.79746835443038e-05,1.79880079946702e-05,1.03264490339773e-05
bClaHye2,0.00374024674891631,0.287498832944315,0.683153384461487,0.0175081693897966,0.00618106035345115,0.00156952317439146,0.000292097365788596,2.60086695565188e-05,1.53384461487162e-05,5.00166722240747e-06,4.33477825941981e-06,3.33444481493831e-06,2.66755585195065e-06
bFriCoe1,0.00638907395069953,0.495781145902732,0.484373417721519,0.00654397068620919,0.00515689540306462,0.00146568954030646,0.000114923384410393,6.92871419053964e-05,4.13057961359094e-05,2.16522318454364e-05,6.99533644237175e-06,3.0979347101932e-05,4.66355762824783e-06
bLarFus1,0.00251317105701901,0.24138179393131,0.743832944314772,0.00515905301767256,0.0041297099033011,0.00276592197399133,5.5351783927976e-05,2.23407802600867e-05,4.00133377792598e-06,3.90130043347783e-05,7.46915638546182e-05,1.30043347782594e-05,9.00300100033345e-06
bPhaCar2,0.00359680106631123,0.257723425524825,0.725941019660113,0.00369343552149284,0.00437587470843052,0.00433088970343219,6.99766744418527e-05,3.93202265911363e-05,1.36621126291236e-05,4.16527824058647e-05,0.000151616127957348,9.99666777740753e-07,2.13262245918027e-05
bTetUro1,0.00282539153615462,0.27254881706098,0.711006997667444,0.00797600799733422,0.00291302899033655,0.00220159946684439,0.000414528490503166,1.86604465178274e-05,3.99866711096301e-06,1.66611129623459e-05,3.49883372209264e-05,2.53248917027657e-05,1.39953348883705e-05
daAjuCham1,0.00317339113037679,0.537079359786595,0.0701533844614872,0.314589863287763,0.0723877959319773,0.00223174391463821,0.00020106702234078,5.96865621873958e-05,4.10136712237412e-05,1.13371123707903e-05,3.43447815938646e-05,2.70090030010003e-05,1.00033344448149e-05
daArcMinu1,0.0838221778221778,0.311837495837496,0.0104542124542125,0.37674691974692,0.213641691641692,0.00287778887778888,6.29370629370629e-05,0.000224775224775225,2.8971028971029e-05,6.29370629370629e-05,2.2977022977023e-05,0.000207459207459207,9.65700965700966e-06
daBalNigr1,0.00540433333333333,0.351650666666667,0.0155483333333333,0.436201,0.188867,0.001923,0.000223,0.000157,7.66666666666667e-06,7.33333333333333e-06,2e-06,3e-06,5.66666666666667e-06
daLigVulg1,0.007304,0.362165666666667,0.0187396666666667,0.415019333333333,0.193229,0.00296866666666667,0.000367666666666667,0.000144666666666667,1.66666666666667e-06,4.5e-05,1.33333333333333e-06,1.33333333333333e-05,0
daLinVulg1,0.00994533333333333,0.418109666666667,0.00266,0.426686666666667,0.138880333333333,0.00308566666666667,0.000273,0.000144333333333333,2.23333333333333e-05,5.9e-05,6.33333333333333e-06,0.000103333333333333,2.4e-05
daMisOron1,0.0152737262737263,0.63210656010656,0.0997329337329337,0.236001332001332,0.0123529803529804,0.00338361638361638,0.000458541458541459,9.39060939060939e-05,0.000317349317349317,0.000197802197802198,2.66400266400266e-05,3.0969030969031e-05,2.36430236430236e-05
daPulDyse1,0.00933455637091394,0.48734389593062,0.0209703135423616,0.388505003335557,0.0916374249499666,0.00171314209472982,8.83922615076718e-05,0.000105737158105404,5.30353569046031e-05,4.20280186791194e-05,3.50233488992662e-05,0.00014076050700467,3.06871247498332e-05
daScuGale1,0.00405562958027981,0.467109593604264,0.0821459027315123,0.381340106595603,0.0640336442371752,0.000916055962691539,0.000190872751499001,6.52898067954697e-05,1.99866755496336e-06,6.99533644237175e-06,1.99866755496336e-05,6.46235842771486e-05,4.93004663557628e-05
daScuMino1,0.0167146666666667,0.482175333333333,0.061431,0.328159,0.108282,0.00258,0.000138,0.000397666666666667,8.66666666666667e-06,1.33333333333333e-06,8.46666666666667e-05,2.56666666666667e-05,2e-06
daSolDulc1,0.0278334998334998,0.43304662004662,0.149296037296037,0.225368298368298,0.141498834498834,0.0109417249417249,0.0115790875790876,0.000180819180819181,0.000111888111888112,3.33000333000333e-06,5.99400599400599e-06,0.000125874125874126,7.99200799200799e-06
daVerOffi1,0.00711492338441039,0.55764290473018,0.144150566289141,0.2812618254497,0.00715156562291805,0.00223317788141239,0.000276815456362425,1.89873417721519e-05,3.66422385076616e-05,2.29846768820786e-05,2.43171219187209e-05,3.99733510992672e-05,2.53164556962025e-05
dcAgrGith1,0.0131170780520347,0.644132088058706,0.0517531687791861,0.26888158772515,0.019522014676451,0.00185623749166111,0.000342228152101401,5.80386924616411e-05,3.33555703802535e-06,1.36757838559039e-05,2.03468979319546e-05,8.57238158772515e-05,0.00021447631754503
dcCheAlbu1,0.0318389463154385,0.796646548849616,0.117293097699233,0.0423741247082361,0.00956185395131711,0.00136378792930977,0.00078592864288096,6.26875625208403e-05,1.83394464821607e-05,1.50050016672224e-05,3.00100033344448e-06,3.06768922974325e-05,6.00200066688896e-06
