Reference sample,Sample,Common name,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
ilSynAndr1,ilSynAndr1,Orange-tailed clearwing,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon andrenaeformis
ilSynForm1,ilSynForm1,Red-tipped clearwing,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon formicaeformis
ilSynMyop1,ilSynMyop1,Red-belted clearwing,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon myopaeformis
ilSynTipu2,ilSynTipu2,Currant clearwing,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon tipuliformis
ilSynVesp1,ilSynVesp1,Yellow-legged clearwing,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon vespiformis
ilTelLucu1,ilTelLucu1,Crescent groundling,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Teleiodes,Teleiodes luculella
ilThaMatu1,ilThaMatu1,Straw underwing,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Thalpophila,Thalpophila matura
ilTheBrit1,ilTheBrit1,Spruce carpet,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Thera,Thera britannica
ilTheObel3,ilTheObel3,.,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Thera,Thera obeliscata
ilThoDeci1,ilThoDeci1,Feathered gothic,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Tholera,Tholera decimalis
ilThuSene1,ilThuSene1,Round-winged muslin,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Thumatha,Thumatha senex
ilThyBati1,ilThyBati1,Peach blossom,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Thyatira,Thyatira batis
ilThySylv1,ilThySylv1,Small skipper,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Thymelicus,Thymelicus sylvestris
ilTilAura1,ilTilAura1,Barred sallow,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Tiliacea,Tiliacea aurago
ilTinPell1,ilTinPell1,Casemaking clothes moth,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tineidae,Tinea,Tinea pellionella
ilTinSemi1,ilTinSemi1,Fulvous clothes moth,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tineidae,Tinea,Tinea semifulvella
ilTinTrin1,ilTinTrin1,Bird's-nest moth,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tineidae,Tinea,Tinea trinotella
ilTorAlte1,ilTorAlte1,Winter shade,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Tortricodes,Tortricodes alternella
ilTriEmor1,ilTriEmor1,Olive crescent,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Trisateles,Trisateles emortualis
ilTyrJaco4,ilTyrJaco4,Cinnabar moth,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Tyria,Tyria jacobaeae
ilUdeOliv2,ilUdeOliv2,Olive pearl,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea olivalis
ilVanAtal1,ilVanAtal1,Red admiral,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta
ilVanCard2,ilVanCard2,Painted lady,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui
ilWatBina1,ilWatBina1,Oak hook-tip,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Watsonalla,Watsonalla binaria
ilXanIcte2,ilXanIcte2,.,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xanthia,Xanthia icteritia
ilXanSpad1,ilXanSpad1,Red twin-spot carpet,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Xanthorhoe,Xanthorhoe spadicearia
ilXesCnig1,ilXesCnig1,Setaceous hebrew character,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xestia,Xestia c-nigrum
ilXesSexs1,ilXesSexs1,Six-striped rustic,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xestia,Xestia sexstrigata
ilXesXant1,ilXesXant1,Square-spot rustic,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xestia,Xestia xanthographa
ilXylAreo1,ilXylAreo1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xylocampa,Xylocampa areola
ilYpoCagn1,ilYpoCagn5,Spindle ermine,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta cagnagella
ilYpoCagn1,ilYpoCagn1,Spindle ermine,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta cagnagella
ilYpoPade2,ilYpoPade1,Spindle ermine,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta padella
ilYpoPade2,ilYpoPade2,Spindle ermine,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta padella
ilYpoPlub1,ilYpoPlub1,Black-tipped ermine,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta plumbellus
ilYpoRore1,ilYpoRore1,Apple ermine moth,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta malinellus
ilYpoSedl1,ilYpoSedl1,Grey ermine,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta sedellus
ilYpsScab1,ilYpsScab1,Wainscot smudge,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Ypsolophidae,Ypsolopha,Ypsolopha scabrella
ilYpsSequ2,ilYpsSequ2,Pied smudge,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Ypsolophidae,Ypsolopha,Ypsolopha sequella
ilZeuPyri1,ilZeuPyri1,Leopard moth,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Cossidae,Zeuzera,Zeuzera pyrina
